indice,id1,id2,id3,id4,id5,e1,e2,Date,year
1,16,29,32,36,41,7,9,13/02/2004,2004
2,7,13,39,47,50,2,5,20/02/2004,2004
3,14,18,19,31,37,4,5,27/02/2004,2004
4,4,7,33,37,39,1,5,05/03/2004,2004
5,15,24,28,44,47,4,5,12/03/2004,2004
6,33,36,37,42,45,4,9,19/03/2004,2004
7,3,4,10,23,43,2,4,26/03/2004,2004
8,4,12,24,27,36,2,9,02/04/2004,2004
9,1,4,10,19,23,2,8,09/04/2004,2004
10,14,15,28,35,40,1,3,16/04/2004,2004
11,6,10,21,45,49,3,5,23/04/2004,2004
12,5,6,16,23,27,6,7,30/04/2004,2004
13,15,16,21,36,38,1,5,07/05/2004,2004
14,1,3,21,32,39,2,6,14/05/2004,2004
15,15,29,37,39,49,4,9,21/05/2004,2004
16,6,11,35,41,44,5,6,28/05/2004,2004
17,9,13,34,41,42,3,7,04/06/2004,2004
18,2,7,8,10,47,1,7,11/06/2004,2004
19,2,23,28,40,43,2,6,18/06/2004,2004
20,3,21,30,34,35,1,2,25/06/2004,2004
21,4,23,24,28,34,1,3,02/07/2004,2004
22,2,5,12,19,44,8,9,09/07/2004,2004
23,24,26,31,38,50,5,8,16/07/2004,2004
24,7,10,27,31,34,3,8,23/07/2004,2004
25,9,10,19,37,50,1,6,30/07/2004,2004
26,5,15,24,35,44,5,6,06/08/2004,2004
27,20,27,41,43,50,5,8,13/08/2004,2004
28,6,9,10,27,35,6,8,20/08/2004,2004
29,1,11,22,28,44,1,9,27/08/2004,2004
30,8,12,14,15,34,6,7,03/09/2004,2004
31,5,25,33,36,38,2,5,10/09/2004,2004
32,15,18,29,39,41,5,8,17/09/2004,2004
33,21,26,27,44,48,1,7,24/09/2004,2004
34,12,20,21,45,48,5,6,01/10/2004,2004
35,1,10,12,16,48,2,6,08/10/2004,2004
36,14,21,22,37,43,5,8,15/10/2004,2004
37,1,9,23,25,40,3,9,22/10/2004,2004
38,1,8,32,35,38,4,9,29/10/2004,2004
39,6,19,25,42,49,1,7,05/11/2004,2004
40,4,11,12,13,32,3,9,12/11/2004,2004
41,1,18,29,34,37,2,6,19/11/2004,2004
42,1,4,24,34,36,6,8,26/11/2004,2004
43,1,11,15,42,49,3,4,03/12/2004,2004
44,1,3,13,16,43,2,7,10/12/2004,2004
45,15,19,22,46,49,2,9,17/12/2004,2004
46,3,4,27,29,37,5,6,24/12/2004,2004
47,7,8,24,25,47,8,9,31/12/2004,2004
48,3,23,27,47,50,2,3,07/01/2005,2005
49,6,11,14,19,29,1,3,14/01/2005,2005
50,10,12,14,24,26,5,8,21/01/2005,2005
51,7,21,26,43,45,5,7,28/01/2005,2005
52,1,8,11,30,40,7,8,04/02/2005,2005
53,11,13,25,32,50,4,7,11/02/2005,2005
54,20,21,26,32,46,8,9,18/02/2005,2005
55,3,27,30,43,44,4,8,25/02/2005,2005
56,12,24,32,37,39,7,9,04/03/2005,2005
57,8,12,23,40,43,1,4,11/03/2005,2005
58,6,23,39,43,48,5,7,18/03/2005,2005
59,4,29,33,37,38,6,9,25/03/2005,2005
60,25,26,41,44,47,3,7,01/04/2005,2005
61,7,11,25,31,50,1,3,08/04/2005,2005
62,6,28,31,38,42,3,9,15/04/2005,2005
63,3,10,13,24,47,5,9,22/04/2005,2005
64,3,9,35,39,42,1,8,29/04/2005,2005
65,7,12,21,26,44,6,8,06/05/2005,2005
66,12,17,31,32,40,2,9,13/05/2005,2005
67,6,7,13,28,47,5,8,20/05/2005,2005
68,2,24,31,48,50,4,9,27/05/2005,2005
69,3,8,11,17,50,1,5,03/06/2005,2005
70,6,7,32,37,47,1,7,10/06/2005,2005
71,4,8,10,18,21,1,7,17/06/2005,2005
72,6,8,14,15,45,7,8,24/06/2005,2005
73,4,5,23,25,28,3,4,01/07/2005,2005
74,35,36,42,46,49,2,8,08/07/2005,2005
75,1,11,12,23,42,3,6,15/07/2005,2005
76,3,14,41,48,49,1,4,22/07/2005,2005
77,3,19,26,49,50,4,5,29/07/2005,2005
78,2,11,21,22,30,4,6,05/08/2005,2005
79,15,23,30,37,40,7,9,12/08/2005,2005
80,11,24,29,31,41,1,3,19/08/2005,2005
81,9,29,35,40,41,1,6,26/08/2005,2005
82,3,4,14,43,50,3,6,02/09/2005,2005
83,8,12,19,31,50,6,7,09/09/2005,2005
84,12,13,19,21,38,3,9,16/09/2005,2005
85,1,26,31,34,47,4,9,23/09/2005,2005
86,6,11,47,48,50,1,6,30/09/2005,2005
87,2,13,21,26,44,3,9,07/10/2005,2005
88,10,11,19,20,23,1,6,14/10/2005,2005
89,1,14,19,29,33,1,8,21/10/2005,2005
90,14,36,44,47,50,3,5,28/10/2005,2005
91,26,36,37,38,42,2,6,04/11/2005,2005
92,15,16,36,41,42,3,5,11/11/2005,2005
93,17,18,25,34,48,2,3,18/11/2005,2005
94,1,6,27,39,47,1,6,25/11/2005,2005
95,1,9,20,23,30,4,7,02/12/2005,2005
96,11,18,35,38,42,1,5,09/12/2005,2005
97,2,3,15,18,32,6,7,16/12/2005,2005
98,15,31,36,37,42,1,7,23/12/2005,2005
99,8,16,19,43,45,1,4,30/12/2005,2005
100,2,6,9,14,26,4,5,06/01/2006,2006
101,8,12,19,33,34,1,6,13/01/2006,2006
102,12,15,33,44,50,2,6,20/01/2006,2006
103,9,15,21,40,49,1,4,27/01/2006,2006
104,9,21,30,39,50,1,3,03/02/2006,2006
105,5,6,38,48,50,6,7,10/02/2006,2006
106,4,23,24,26,38,2,4,17/02/2006,2006
107,1,11,18,19,47,3,7,24/02/2006,2006
108,3,5,8,10,44,3,5,03/03/2006,2006
109,1,21,33,45,49,4,8,10/03/2006,2006
110,5,32,44,45,50,1,7,17/03/2006,2006
111,17,28,33,35,47,4,9,24/03/2006,2006
112,3,20,31,45,50,6,7,31/03/2006,2006
113,12,13,29,44,50,4,5,07/04/2006,2006
114,16,26,34,35,49,2,6,14/04/2006,2006
115,1,20,22,37,46,1,9,21/04/2006,2006
116,5,10,17,22,33,5,7,28/04/2006,2006
117,4,8,14,16,50,3,9,05/05/2006,2006
118,5,20,23,34,50,1,5,12/05/2006,2006
119,3,5,25,34,49,5,8,19/05/2006,2006
120,2,12,21,41,49,3,7,26/05/2006,2006
121,7,8,27,41,48,1,6,02/06/2006,2006
122,3,12,15,34,39,4,6,09/06/2006,2006
123,1,16,26,30,36,3,9,16/06/2006,2006
124,9,21,30,43,44,1,9,23/06/2006,2006
125,6,15,16,40,43,1,2,30/06/2006,2006
126,7,9,18,35,43,5,7,07/07/2006,2006
127,1,7,17,31,36,2,8,14/07/2006,2006
128,2,4,9,38,50,6,8,21/07/2006,2006
129,3,8,12,29,43,6,7,28/07/2006,2006
130,1,14,15,26,32,3,7,04/08/2006,2006
